Nom_districte,Nom_barri,Descripcio_dia_setmana,Nom_mes,Dia_mes,Hora_dia,Descripcio_causa_vianant,Descripcio_tipus_vehicle,tipo_vehiculo,Descripcio_model,Descripcio_marca,Descripcio_color,Descripcio_carnet,Antiguitat_carnet,Longitud,Latitud
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,1,13,No,Bicicleta,Bicicleta,Desconegut,Desconegut,Negre,Desconegut,Desconegut,2.156096567428137,41.383948954173285
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Enero,1,13,No,Turisme,Turismo,MONDEO,FORD,Gris,B,30,2.156096567428137,41.383948954173285
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Noviembre,1,6,No,Taxi,Taxi,TOLEDO,SEAT,Negre/Groc,B,17,2.156096567428137,41.383948954173285
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Noviembre,1,6,No,Veh. mobilitat personal amb motor,Patinete/patín,Desconegut,Desconegut,Negre,Desconegut,1,2.156096567428137,41.383948954173285
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Agosto,27,15,No,Motocicleta,Motocicleta,AN650A,SUZUKI,Negre,A,28,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Agosto,27,15,No,Turisme,Turismo,308 5P ACTIVEEHD,PEUGEOT,Gris,B,2,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Diciembre,9,13,No,Motocicleta,Motocicleta,CZD300-A (X-MAX300),YAMAHA,Blanc,A,36,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Diciembre,9,13,No,Turisme,Turismo,Desconegut,Desconegut,Negre,Desconegut,Desconegut,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Diciembre,9,13,No,Turisme,Turismo,IBIZA ST,SEAT,Blanc,B,26,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Diciembre,9,13,No,Turisme,Turismo,TOLEDO,SEAT,Negre/Groc,B,21,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Octubre,11,15,No,Motocicleta,Motocicleta,AGILITY CITY 125,KYMCO,Desconegut,B,4,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Viernes,Octubre,11,15,No,Veh. mobilitat personal amb motor,Patinete/patín,Desconegut,Desconegut,Negre,B,13,2.1572430080925304,41.38480288325485
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Diciembre,15,12,No,Motocicleta,Motocicleta,R 1200 GS,BMW,Gris,A,8,2.1577712928264354,41.3853578252567
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Diciembre,15,12,No,Turisme,Turismo,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,2.1577712928264354,41.3853578252567
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Octubre,14,16,No,Motocicleta,Motocicleta,UX 125,SUZUKI,Negre,B,9,2.158922227693657,41.38607080431142
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Octubre,14,16,No,Turisme,Turismo,C4CAC EHDI92ETG SHIN,CITROEN,Blanc,B,6,2.158922227693657,41.38607080431142
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Agosto,13,15,No,Motocicleta,Motocicleta,SUPER DINK 125I,KYMCO,Gris,B,5,2.15837118735883,41.38565621690845
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Agosto,13,15,No,Turisme,Turismo,FIESTA,FORD,Verd,B,3,2.15837118735883,41.38565621690845
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Julio,28,3,No,Taxi,Taxi,TOYOTA PRIUS,TOYOTA,Desconegut,B,14,2.15837118735883,41.38565621690845
Eixample,l'Antiga Esquerra de l'Eixample,Domingo,Julio,28,3,No,Turisme,Turismo,N-C4 HDI110,CITROEN,granate,B,19,2.15837118735883,41.38565621690845
Eixample,l'Antiga Esquerra de l'Eixample,Martes,Octubre,29,16,No,Bicicleta,Bicicleta,Desconegut,Desconegut,Desconegut,Desconegut,Desconegut,2.159499963810238,41.38650260808863
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Noviembre,6,15,No,Ciclomotor,Ciclomotor,COMPAY 50 RETRO,APRILIA,Gris,B,2,2.1606348027454594,41.38735416658667
Eixample,l'Antiga Esquerra de l'Eixample,Miércoles,Noviembre,6,15,No,Turisme,Turismo,GOLF,VOLKSWAGEN,Negre,B,46,2.1606348027454594,41.38735416658667
Eixample,l'Antiga Esquerra de l'Eixample,Lunes,Enero,28,13,No,Furgoneta,Furgoneta,SPRINTER,MERCEDES,Blanc,B,14,2.159499963810238,41.38650260808863
